날짜,종가,전일비,시가,고가,저가,거래량,MA5,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,평균거래량,거래량비율,거래량신호,골든크로스,데드크로스,MACD_골든크로스
2025-04-25,37950,"하락
				1,500",37850,38400,37150,16562277,38980.0,39522.5,41293.333333333336,41.59627084143684,-771.9450460462976,-780.9615561623181,9.016510116020413,2382388.45,6.951963270305478,True,False,False,False
2025-04-28,38050,"상승
				100",38500,38600,37950,1779369,38810.0,39470.0,41288.333333333336,42.093995763316634,-798.1251740080334,-784.3942797314612,-13.730894276572144,2385799.75,0.745816575762488,False,False,False,False
2025-04-29,38450,"상승
				400",38200,38700,38100,1787062,38660.0,39282.5,41232.5,44.14449433624177,-777.6323947870769,-783.0419027425844,5.409507955507479,2346623.25,0.7615461919590203,False,False,False,True
2025-04-30,38250,"하락
				200",38300,38750,37750,1857478,38430.0,39150.0,41188.333333333336,43.31852444550993,-768.6693068528548,-780.1673835646385,11.49807671178371,2362008.6,0.7863976447841892,False,False,False,False
2025-05-02,38050,"하락
				200",38150,38650,37950,1350989,38150.0,38910.0,41102.5,42.4629022788418,-768.8415962849831,-777.9022261087075,9.060629823724412,2304113.95,0.5863377546930784,False,False,False,False
2025-05-07,38350,"상승
				300",38350,38550,37800,1891623,38230.0,38735.0,40986.666666666664,44.241967046668705,-736.2832293581887,-769.5784267586038,33.29519740041508,2156446.35,0.8771945566834992,False,False,False,False
2025-05-08,37000,"하락
				1,350",38200,38250,36900,4639380,38020.0,38552.5,40861.666666666664,38.47647609753336,-810.0761529413794,-777.6779719951589,-32.398180946220464,2282175.8,2.0328758196454455,True,False,False,False
2025-05-09,36950,"하락
				50",37150,37200,36850,1076784,37720.0,38447.5,40769.166666666664,38.27751575046629,-862.6480884787379,-794.6719952918747,-67.97609318686318,2206592.35,0.4879850145406332,False,False,False,False
2025-05-12,38100,"상승
				1,150",37100,38100,37050,1737798,37690.0,38495.0,40690.0,45.285400972488326,-802.2682876777617,-796.1912537690522,-6.077033908709495,2200393.2,0.7897670289110146,False,False,False,False
2025-05-13,37550,"하락
				550",38150,38300,37400,1270052,37590.0,38372.5,40615.833333333336,42.78350375894282,-789.6941612647133,-794.8918352681845,5.197674003471207,2165021.55,0.5866232601703203,False,False,False,True
